FR1.No,FRB.No,FRC.No,FRD.No,FRE.No,FRF.No,FRG.No,FRH.No,FRI.No,FRJ.No,FRK.No,FRL.No,FRM.No,FR1.Yes,FRB.Yes,FRC.Yes,FRD.Yes,FRE.Yes,FRF.Yes,FRG.Yes,FRH.Yes,FRI.Yes,FRJ.Yes,FRK.Yes,FRL.Yes,FRM.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
 0.000000, 0.000000, 0.000000, 0.000000,13.513039, 0.000000, 3.948674, 0.000000, 4.016825, 0.000000, 7.982510,19.710336, 0.000000, 0.000000, 0.000000, 0.000000, 6.645590, 0.000000, 0.000000, 0.000000, 3.877080, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LU1_2U15
  0.000000, 17.330695, 21.241687,  4.167737,  8.073217, 28.736464, 18.497437,  0.000000, 75.116119, 73.261271,104.248495, 52.828135,  8.047371,  0.000000,  4.187844,  0.000000,  0.000000, 11.545638,  4.035456, 16.622262,  0.000000, 14.961251, 28.893569,  0.000000,  4.071429,  8.096411,Total.SURVEY_LU1_2U21
70.290818,97.494456,11.996319,48.652084,94.120600,55.057201,20.880819,92.527682,34.807986, 8.108929,68.182169,28.459218, 0.000000, 0.000000, 0.000000, 8.172661, 0.000000, 0.000000, 3.973845,11.973602, 0.000000, 0.000000, 0.000000,27.364762, 0.000000, 0.000000,Total.SURVEY_LU1_2U22
1038.48239, 598.65171, 518.16437, 557.89267, 583.11227,1143.33555, 795.80451, 610.10683,1381.55966,1447.55492,1475.59678, 899.37689, 127.77506, 198.66782, 516.92521, 655.28788, 476.55032, 530.96716, 998.71689, 808.08900, 781.98683,1760.23820,1271.70683,1185.39006, 131.81487,  24.65185,Total.SURVEY_LU1_2U31
26.068774,17.835954, 8.771143,35.498851,29.948401,38.614934,36.129300,20.211850,30.332276,15.407627,24.393722,48.135218, 0.000000, 0.000000,53.903565, 3.978512, 4.060251, 5.058655, 7.962313,28.146130, 4.143123,46.852652, 4.059188, 4.477626, 0.000000, 0.000000,Total.SURVEY_LU1_2U32
51.612353, 0.000000, 4.170312, 0.000000,14.640424, 9.956751, 4.158413,23.345752, 0.000000,17.935157,32.763900, 9.073180, 4.014012, 3.989490, 3.981753, 4.148095,11.982765,28.153583, 4.276087,13.480115,50.969899,99.709005,25.301077,28.296888,14.145544, 3.968179,Total.SURVEY_LU1_2U33
 58.083677, 23.071284, 86.236759, 69.300855,113.707547,174.063494,162.594638, 38.902561,178.322313, 24.938462, 88.313195, 42.382263,  8.162836,  8.125717,  0.000000,  3.967504, 10.811060,  0.000000,  4.155709, 20.392237,  3.971607, 43.331329, 41.136649,  4.179784, 55.665295,  0.000000,Total.SURVEY_LU1_2U34
 82.166381,140.731640,184.315641,106.017030,332.591610,540.862811,104.343779, 83.990793,400.585294,185.493500,237.947823,310.913115, 36.885875, 49.710473,  3.987845, 48.565952, 24.783211, 42.111020,174.785087, 28.234752,  7.149987, 52.942472, 42.985148,190.582078,  4.157733,  0.000000,Total.SURVEY_LU1_2U35
199.41172,290.39055,124.64695,235.66551,272.93707,451.08860,128.95089,249.47579,518.77251,294.52389,574.63032,314.90443, 22.02939, 26.70069, 97.42869, 91.68264, 61.47663, 31.99714, 99.76101,183.35104,117.71335,121.27568, 48.39418,126.35920, 82.25340,  0.00000,Total.SURVEY_LU1_2U36
1186.62399,1292.56107,1006.35289,1388.95608,1423.65208,1216.49564,1187.73797, 996.24386,2444.18332,2082.78566,2141.19918,1590.62550, 158.49625, 205.83909, 351.93131, 398.89850, 472.83464, 326.33828, 551.57248, 863.99559, 758.02698,1495.50564, 770.15685, 929.47785, 276.19709,  42.28816,Total.SURVEY_LU1_2U37
  7.956022, 36.205982, 31.922107, 23.102840, 22.055662, 24.144061, 12.204311, 30.830708, 61.214394, 74.458465, 27.947176, 11.436624,  4.042665,  3.927748, 20.052336, 19.683825, 45.758232, 12.004312, 46.554039, 42.290605, 22.094908,273.016686,226.899981,159.295166, 16.015651,  8.117004,Total.SURVEY_LU1_2U41
 243.1842, 935.3409, 563.0832, 353.6877, 425.1679, 739.8657, 745.3612, 745.3020,2402.4514,8303.2028,7420.0505,9752.2289,4536.5538, 114.7414, 360.9882, 715.9342, 350.2503, 242.0519, 406.3632, 476.4823, 418.0606,1671.0199,1992.5068,1587.5011, 792.5490, 124.3172,Total.SURVEY_LU1_2U42
255.341844,318.009905,342.144240,326.880561,641.723975,425.110799,227.540604,307.027594,836.602000,362.259043,730.332477,476.795087, 28.854875,  8.143142,147.832730,133.231179, 89.374777,121.009301,255.731907,300.421181,307.426246,314.064469,222.344722,202.838403, 51.033995,  4.148824,Total.SURVEY_LC1_3A11
154.586920,  0.000000,  0.000000,  0.000000, 70.145110,  0.000000,  0.000000,120.636821,  4.158640, 12.584326, 40.230417, 25.247892,  4.148824,  0.000000,  0.000000,  4.024565,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,Total.SURVEY_LC1_3A12
 0.000000, 4.163890, 0.000000, 7.971747, 0.000000, 4.167950,14.098033, 0.000000, 4.130255,18.556343,31.644508,36.079644, 0.000000, 0.000000, 9.694495, 0.000000, 0.000000, 0.000000, 0.000000,53.987826,47.299104,32.082272, 4.185641, 0.000000, 9.601785, 4.148824,Total.SURVEY_LC1_3A13
 0.00000, 0.00000, 0.00000,14.62575, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3A1x
571.307498,344.006590,223.775026,399.549768,570.513463,514.359355,478.952054,336.489557,508.196464,643.327844,561.794140,502.450279, 32.713840,134.383979, 53.580739,165.363977,139.883485, 99.776897,139.503418,259.947225,145.039657,274.299897,158.823111,287.868157, 78.655391,  8.050635,Total.SURVEY_LC1_3A21
 419.47522, 409.94141, 427.09892, 332.86708, 371.75261, 646.29904, 487.60761, 376.14446, 956.58127,1032.23994, 816.52421, 585.46831, 100.85264,  94.93676, 451.20574, 490.69336, 325.41160, 387.81816, 742.72610, 635.03277, 579.86323,1345.60614,1029.13540, 943.31019,  99.09938,  24.65185,Total.SURVEY_LC1_3A22
0.000000,4.027627,0.000000,4.046842,0.000000,9.016108,6.161550,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3A2x
 33.59540, 40.18519, 23.71688, 23.00364, 39.77048,137.16116, 34.50078, 29.04869,131.85489, 57.25704,144.52802, 36.42239,  4.13144, 36.49644, 12.11358, 71.38390,115.02198, 77.65758,159.97257, 33.35215, 51.12375, 86.45518, 68.28613, 92.65495, 12.01892,  0.00000,Total.SURVEY_LC1_3A30
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.970313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3A3x
3.860907,5.212478,0.000000,0.000000,0.000000,3.989998,0.000000,0.000000,0.000000,0.000000,7.479522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3Axx
