FI1.No,FI2.No,FI1.Yes,FI2.Yes,variable
No,No,Yes,Yes,flag_two
36.61435, 0.00000,24.63511, 0.00000,SE.Total.SURVEY_LC1_3F20
 83.74175,  0.00000,167.48865,  0.00000,SE.Total.SURVEY_LC1_3F30
345.911924,  4.147636,411.749272,  0.000000,SE.Total.SURVEY_LC1_3F40
4.6286,0.0000,0.0000,0.0000,SE.Total.SURVEY_LC1_3Fxx
317.3993,  0.0000,132.5880,  0.0000,SE.Total.SURVEY_LC1_3G11
0,0,0,0,SE.Total.SURVEY_LC1_3G12
208.50046,  0.00000, 56.83519,  0.00000,SE.Total.SURVEY_LC1_3G21
3.673538,0.000000,0.000000,0.000000,SE.Total.SURVEY_LC1_3G22
5.518232,0.000000,0.000000,0.000000,SE.Total.SURVEY_LC1_3G30
307.70758,  0.00000, 40.51975,  0.00000,SE.Total.SURVEY_LC1_3H11
464.3524,  0.0000,152.3816,  0.0000,SE.Total.SURVEY_LC1_3H12
5.974853,0.000000,0.000000,0.000000,SE.Total.SURVEY_LC1_3H21
3.85236,0.00000,0.00000,0.00000,SE.Total.SURVEY_LC1_3Hxx
314.828498,  5.318208,333.813141,  5.280524,SE.Total.SURVEY_LU1_3U111
 10.38205,  0.00000,181.85895,  0.00000,SE.Total.SURVEY_LU1_3U112
11.376841, 0.000000, 2.947712, 0.000000,SE.Total.SURVEY_LU1_3U113
2257.91854,  10.58723,2450.64993,  14.20426,SE.Total.SURVEY_LU1_3U120
158.1131,  0.0000,  0.0000,  0.0000,SE.Total.SURVEY_LU1_3U130
 86.04697,  0.00000,173.17096,  0.00000,SE.Total.SURVEY_LU1_3U140
  0.0000,  0.0000,180.8274,  0.0000,SE.Total.SURVEY_LU1_3U150
34.18447, 0.00000, 0.00000, 0.00000,SE.Total.SURVEY_LU1_3U210
9.095044,0.000000,0.000000,0.000000,SE.Total.SURVEY_LU1_3U223
0,0,0,0,SE.Total.SURVEY_LU1_3U224
20.26663, 0.00000, 0.00000, 0.00000,SE.Total.SURVEY_LU1_3U225
0.000000,0.000000,8.716825,0.000000,SE.Total.SURVEY_LU1_3U226
0,0,0,0,SE.Total.SURVEY_LU1_3U227
0,0,0,0,SE.Total.SURVEY_LU1_3U228
13.24224, 0.00000,28.03480, 0.00000,SE.Total.SURVEY_LU1_3U311
133.2518,  0.0000,447.4823,  0.0000,SE.Total.SURVEY_LU1_3U312
77.343196, 0.000000, 4.193354, 0.000000,SE.Total.SURVEY_LU1_3U313
9.641987,0.000000,0.000000,0.000000,SE.Total.SURVEY_LU1_3U314
0,0,0,0,SE.Total.SURVEY_LU1_3U316
46.95699, 0.00000,17.39572, 0.00000,SE.Total.SURVEY_LU1_3U317
 55.28004,  0.00000,115.31930,  0.00000,SE.Total.SURVEY_LU1_3U319
0,0,0,0,SE.Total.SURVEY_LU1_3U321
18.009653, 0.000000, 1.267149, 0.000000,SE.Total.SURVEY_LU1_3U322
156.63017,  0.00000, 18.22695,  0.00000,SE.Total.SURVEY_LU1_3U330
11.10540, 0.00000,34.29492, 0.00000,SE.Total.SURVEY_LU1_3U341
185.56632,  0.00000, 22.22744,  0.00000,SE.Total.SURVEY_LU1_3U350
521.6952,  0.0000,292.6252,  0.0000,SE.Total.SURVEY_LU1_3U361
56.28265, 0.00000,44.48304, 0.00000,SE.Total.SURVEY_LU1_3U362
169.43512,  0.00000,284.20674, 11.69571,SE.Total.SURVEY_LU1_3U370
0,0,0,0,SE.Total.SURVEY_LU1_3U411
 0.00000, 0.00000,17.18314, 0.00000,SE.Total.SURVEY_LU1_3U413
 0.00000, 0.00000,10.26511, 0.00000,SE.Total.SURVEY_LU1_3U414
 77.06561,  0.00000,194.22074,  0.00000,SE.Total.SURVEY_LU1_3U415
