FI19.No,FI1B.No,FI1C.No,FI1D.No,FI20.No,FI19.Yes,FI1B.Yes,FI1C.Yes,FI1D.Yes,FI20.Yes,variable
No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,flag_two
0.000000,0.000000,0.000000,0.000000,0.000000,3.917467,0.000000,0.000000,7.191058,0.000000,Total.SURVEY_LC1_3B35
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.271922,16.446579, 0.000000,Total.SURVEY_LC1_3B37
  0.000000,  0.000000,  4.017668,  0.000000,  0.000000,  9.182542, 28.242959,112.638403,  0.000000,  0.000000,Total.SURVEY_LC1_3B41
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,19.93102,24.26959, 0.00000, 0.00000,Total.SURVEY_LC1_3B43
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,40.32017, 0.00000, 0.00000,Total.SURVEY_LC1_3B45
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,159.60164, 17.67557, 21.32410, 57.75641,  0.00000,Total.SURVEY_LC1_3B51
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,57.46146, 0.00000,Total.SURVEY_LC1_3B52
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,103.55718,  0.00000, 98.47054,166.58255,  7.16993,Total.SURVEY_LC1_3B53
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.017668,12.562151, 0.000000,Total.SURVEY_LC1_3B54
  22.114705,   3.976486,  70.222525,  29.665827,   0.000000, 913.696097,  34.816402, 550.572545,1681.393184,  46.294873,Total.SURVEY_LC1_3B55
16.376323, 3.983432, 4.271922, 0.000000, 0.000000, 3.634038, 0.000000,16.991283, 3.120509, 5.001830,Total.SURVEY_LC1_3B71
0.000000,4.413947,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3B73
 0.000000, 0.000000, 3.910738, 0.000000, 0.000000, 8.335916, 0.000000, 8.543845,11.419932, 0.000000,Total.SURVEY_LC1_3B75
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,40.32017, 0.00000, 0.00000,Total.SURVEY_LC1_3B83
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.98279,0.00000,Total.SURVEY_LC1_3B84
686.513110,479.014474,498.571108,412.094624,  7.378644,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,Total.SURVEY_LC1_3Bx1
