DE1.No,DE2.No,DE3.No,DE4.No,DE5.No,DE6.No,DE7.No,DE8.No,DE9.No,DEA.No,DEB.No,DEC.No,DED.No,DEE.No,DEF.No,DEG.No,DE1.Yes,DE2.Yes,DE3.Yes,DE4.Yes,DE5.Yes,DE6.Yes,DE7.Yes,DE8.Yes,DE9.Yes,DEA.Yes,DEB.Yes,DEC.Yes,DED.Yes,DEE.Yes,DEF.Yes,DEG.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
212.565326,118.591259,  5.272683, 47.715094,  5.248144,  4.988028, 51.175315, 25.223443,158.384574,226.736659, 35.456443, 10.786562, 25.202597, 80.087495,  4.935618, 14.646025, 21.162961, 77.554910,  0.000000,  3.992431,  0.000000,  0.000000, 17.204777,  0.000000,  0.000000, 47.122792, 17.908876,  0.000000, 12.686080,  0.000000, 14.416291,  0.000000,Total.SURVEY_LU1_2U22
1195.141052,2009.666625, 154.546005, 552.935179,  65.812178, 170.062920, 739.301651, 374.519575,1322.599730,1551.453385, 695.219754, 131.288797, 698.283951, 598.105499, 492.687454, 297.226394, 914.269090,1501.850310,  29.058137, 249.158056,  17.032949,   4.005599, 477.295113, 167.351805, 688.962511, 898.756789, 477.922318,  44.098931, 264.376989, 428.988317, 284.514257, 312.593460,Total.SURVEY_LU1_2U31
31.290755,68.726880,25.924023,67.460594, 5.196771, 0.000000,19.519940,28.266989,43.557564,96.587570, 0.000000, 0.000000,85.651242,47.351330,24.924005,44.077296,23.036067,31.903581, 0.000000, 3.992431, 0.000000, 0.000000, 0.000000, 4.029482, 0.000000,33.496290,10.161330, 4.004546, 7.941879, 7.934989, 4.079040,11.838325,Total.SURVEY_LU1_2U32
34.548550,17.838666, 0.000000, 3.988889, 0.000000, 4.081114, 3.979033, 0.000000,42.037326,67.772292,18.203157, 4.004546, 7.915439, 0.000000, 0.000000,22.377796,68.053245,61.577577, 0.000000, 8.178917, 0.000000, 0.000000, 0.000000, 0.000000,34.015172,52.282102, 3.855058, 0.000000, 4.019147,12.257172,18.407769,23.244482,Total.SURVEY_LU1_2U33
292.631479,440.655882, 64.590363,102.867760, 20.038367, 26.300514,126.604395, 66.005217,378.915261,427.717486,149.603237, 31.101510, 86.618556, 34.766888,123.981480, 16.343104, 34.411233, 80.483604,  3.786623,  0.000000,  0.000000,  0.000000,  8.820379, 13.129352, 43.695272, 39.753241,  4.104468,  0.000000, 21.659373,  0.000000, 13.098058,  3.964122,Total.SURVEY_LU1_2U34
192.625750,547.409061, 22.887629,263.300293,  5.248144,  7.984926,165.459592,197.560743,698.302428,428.559196,193.770646,  7.970341,252.105858,211.764724,117.914975,107.247996, 20.545293, 62.876716,  0.000000, 59.545733,  0.000000,  0.000000, 66.859032, 11.961261, 79.029585, 28.653883,  7.682274,  4.044961,  4.804394,  7.906501, 61.327541,  0.000000,Total.SURVEY_LU1_2U35
 507.967369,1061.395828,  93.122437, 661.431351,  12.582533,  40.134179, 226.331539, 708.529796, 744.811418, 826.895121, 145.102547,  62.903195, 341.555868, 394.461234, 237.145068, 147.641799, 196.518860, 292.868215,   3.919282,  59.214407,   4.111143,   4.005599, 110.421765,  21.618179,  42.800643, 105.082080,  55.831974,   5.293470, 120.331618,  52.658560,  20.289473,  33.935614,Total.SURVEY_LU1_2U36
1416.87963,1781.48101, 183.20410, 831.49024, 124.52282, 230.17519, 819.04049, 357.09507,1754.82679,2420.67203, 704.48272, 289.31685,1053.76728, 504.12083, 646.79695, 649.09950, 440.61389, 621.84192,  20.04406, 120.04114,  16.03874,  13.05988, 140.52100, 173.97746, 666.87670, 367.21919, 208.35088,  13.24293, 107.30181, 113.92230, 187.17896,  90.15119,Total.SURVEY_LU1_2U37
 11.494253, 52.217304, 20.323417,285.281717,  0.000000,  0.000000, 12.918418, 46.838327, 15.922029, 59.073121, 14.803698,  3.884966, 33.411895,129.406909,  8.080034, 24.025342, 43.530562, 57.288595,  3.786623,174.067315,  0.000000,  0.000000, 13.098447, 30.129917,  3.979476, 12.928627, 54.059046,  3.869202, 36.464930, 39.798814, 42.353406,  3.984873,Total.SURVEY_LU1_2U41
 629.22384,1556.81442,  42.49204,1259.38292,  37.94863,  40.09069, 284.09085,1614.26125,1027.57652, 308.81106, 169.44401,  30.54313, 199.14737, 539.02860, 747.08926, 155.18416, 515.28625,1130.04741,  15.13926, 403.98100,   0.00000,  12.08985, 273.55557, 318.14542, 289.15014, 449.44144, 343.00105,  81.69869, 122.49534, 136.16136, 194.72189, 425.42854,Total.SURVEY_LU1_2U42
 627.068041, 972.704832,  61.075242, 261.536616,  54.977064,  65.894966, 334.277236, 258.396529, 918.182947,1183.625398, 367.149708, 141.294426, 431.942817, 186.438745, 180.834701, 341.306801, 276.765575, 247.633241,   0.000000,  45.245673,   7.633664,   4.081114, 128.789181,  44.849731, 269.406231, 186.853112, 104.992233,   5.233841,  79.320333,  27.910980,  86.520132,  20.257071,Total.SURVEY_LC1_3A11
 85.979062, 23.716464, 49.211706, 13.879047,  8.587872, 14.037410,149.630630, 13.556575, 63.652200,102.777845,  0.000000, 33.258566,  0.000000, 11.914569, 13.143572, 16.907438, 16.152830, 19.506937,  3.954512,  0.000000,  0.000000,  0.000000,  6.380452,  0.000000,  3.858840,  4.015200,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,Total.SURVEY_LC1_3A12
 3.861196, 0.000000, 0.000000, 0.000000, 0.000000, 4.040345, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.004546,10.228397, 0.000000, 0.000000, 0.000000, 7.369168, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 6.266765,12.083127, 0.000000, 0.000000, 0.000000, 0.000000, 3.901575, 0.000000,Total.SURVEY_LC1_3A13
