LU0.No,LU0.Yes,variable
No,Yes,flag_two
 0.00000,16.11801,CI.l(95%).Total.SURVEY_LC1_3A12
 0.00000,51.83446,CI.l(95%).Total.SURVEY_LC1_3A21
 0.00000,95.94589,CI.l(95%).Total.SURVEY_LC1_3A22
 0.00000,24.17702,CI.l(95%).Total.SURVEY_LC1_3A30
  0.0000,124.9146,CI.l(95%).Total.SURVEY_LC1_3B11
0.000000,4.029503,CI.l(95%).Total.SURVEY_LC1_3B12
 0.00000,40.29503,CI.l(95%).Total.SURVEY_LC1_3B13
 0.00000,16.11801,CI.l(95%).Total.SURVEY_LC1_3B14
 0.00000,20.14752,CI.l(95%).Total.SURVEY_LC1_3B15
  0.0000,108.7966,CI.l(95%).Total.SURVEY_LC1_3B16
0.000000,4.029503,CI.l(95%).Total.SURVEY_LC1_3B18
0.000000,8.059006,CI.l(95%).Total.SURVEY_LC1_3B21
0.000000,4.029503,CI.l(95%).Total.SURVEY_LC1_3B31
 0.00000,16.11801,CI.l(95%).Total.SURVEY_LC1_3B32
0.000000,4.029503,CI.l(95%).Total.SURVEY_LC1_3B41
0.000000,8.059006,CI.l(95%).Total.SURVEY_LC1_3B43
0.000000,4.029503,CI.l(95%).Total.SURVEY_LC1_3B51
0.000000,4.029503,CI.l(95%).Total.SURVEY_LC1_3B52
0.000000,8.059006,CI.l(95%).Total.SURVEY_LC1_3B53
0.000000,4.029503,CI.l(95%).Total.SURVEY_LC1_3B54
  0.0000,104.7671,CI.l(95%).Total.SURVEY_LC1_3B55
0.000000,8.059006,CI.l(95%).Total.SURVEY_LC1_3B71
0.000000,4.029503,CI.l(95%).Total.SURVEY_LC1_3B75
 0.00000,12.08851,CI.l(95%).Total.SURVEY_LC1_3B82
4.029503,0.000000,CI.l(95%).Total.SURVEY_LC1_3Bx1
16.11801, 0.00000,CI.l(95%).Total.SURVEY_LC1_3Bxx
  0.0000,635.1959,CI.l(95%).Total.SURVEY_LC1_3C10
  0.0000,150.8066,CI.l(95%).Total.SURVEY_LC1_3C21
0.000000,3.480423,CI.l(95%).Total.SURVEY_LC1_3C22
 0.00000,15.07055,CI.l(95%).Total.SURVEY_LC1_3C23
18.99079, 0.00000,CI.l(95%).Total.SURVEY_LC1_3C2x
 0.00000,38.95696,CI.l(95%).Total.SURVEY_LC1_3C31
 0.00000,19.10005,CI.l(95%).Total.SURVEY_LC1_3C32
 0.00000,42.83856,CI.l(95%).Total.SURVEY_LC1_3C33
7.296822,0.000000,CI.l(95%).Total.SURVEY_LC1_3C3x
3.480423,0.000000,CI.l(95%).Total.SURVEY_LC1_3Cxx
 0.00000,19.22811,CI.l(95%).Total.SURVEY_LC1_3D10
0.000000,8.059006,CI.l(95%).Total.SURVEY_LC1_3D20
 0.00000,95.94589,CI.l(95%).Total.SURVEY_LC1_3E10
  0.00,648.75,CI.l(95%).Total.SURVEY_LC1_3E20
8.059006,0.000000,CI.l(95%).Total.SURVEY_LC1_3E2x
 0.00000,27.44434,CI.l(95%).Total.SURVEY_LC1_3E30
4.029503,0.000000,CI.l(95%).Total.SURVEY_LC1_3Exx
 0.00000,32.23602,CI.l(95%).Total.SURVEY_LC1_3F40
 0.00000,12.08851,CI.l(95%).Total.SURVEY_LC1_3G11
 0.00000,16.11801,CI.l(95%).Total.SURVEY_LC1_3G21
0.000000,4.029503,CI.l(95%).Total.SURVEY_LC1_3H11
  28.20652,1245.11646,CI.l(95%).Total.SURVEY_LU1_3U111
 30.82062,868.02125,CI.l(95%).Total.SURVEY_LU1_3U120
0.000000,4.029503,CI.l(95%).Total.SURVEY_LU1_3U140
0.000000,4.029503,CI.l(95%).Total.SURVEY_LU1_3U221
0.000000,4.029503,CI.l(95%).Total.SURVEY_LU1_3U223
0.000000,8.059006,CI.l(95%).Total.SURVEY_LU1_3U224
 0.00000,12.08851,CI.l(95%).Total.SURVEY_LU1_3U311
 0.00000,99.97539,CI.l(95%).Total.SURVEY_LU1_3U312
0.000000,4.029503,CI.l(95%).Total.SURVEY_LU1_3U317
 0.00000,16.11801,CI.l(95%).Total.SURVEY_LU1_3U319
0.000000,8.059006,CI.l(95%).Total.SURVEY_LU1_3U321
 0.00000,11.53943,CI.l(95%).Total.SURVEY_LU1_3U330
0.000000,8.059006,CI.l(95%).Total.SURVEY_LU1_3U341
 0.00000,16.11801,CI.l(95%).Total.SURVEY_LU1_3U350
 0.00000,28.20652,CI.l(95%).Total.SURVEY_LU1_3U361
 0.00000,24.17702,CI.l(95%).Total.SURVEY_LU1_3U362
 4.029503,92.129491,CI.l(95%).Total.SURVEY_LU1_3U370
0.000000,4.029503,CI.l(95%).Total.SURVEY_LU1_3U414
 0.00000,67.73937,CI.l(95%).Total.SURVEY_LU1_3U420
  59.02715,2201.97066,CI.l(95%).Total.settlement0
  4.029503,325.342288,CI.l(95%).Total.settlement1
0.006097833,0.492339373,CI.l(95%).Total.settl_pc
  35.71645,1634.64019,CI.l(95%).Total.fao_class_name0
 26.86845,867.76779,CI.l(95%).Total.fao_class_name1
 0.00000,11.32632,CI.l(95%).Total.fao_class_name2
 0.00000,12.08851,CI.l(95%).Total.fao_class_name3
  59.02715,2359.42704,CI.l(95%).Total.lue0
