SE11.No,SE12.No,SE21.No,SE22.No,SE23.No,SE31.No,SE32.No,SE33.No,SE11.Yes,SE12.Yes,SE21.Yes,SE22.Yes,SE23.Yes,SE31.Yes,SE32.Yes,SE33.Yes,variable
No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,112.798344,  4.057655,  0.000000, 31.531899,  0.000000,  0.000000,  0.000000,  8.055162,CI.u(95%).Total.SURVEY_LU1_3U342
  11.01272,  31.27040,  30.31043,   0.00000,   0.00000,  96.01403,   0.00000, 937.32596,  66.70299, 283.82351, 158.57423, 116.52608, 643.90145, 173.98391,  40.41521,6186.84183,CI.u(95%).Total.SURVEY_LU1_3U350
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 183.8254, 381.2076, 398.1166,2430.8892,1524.5439, 693.0826,3085.0936,5059.0573,4554.8153,7583.4569,CI.u(95%).Total.SURVEY_LU1_3U361
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 59.97256,175.76587, 51.29714, 98.81909,387.57534,126.19998, 65.19478,109.96959,CI.u(95%).Total.SURVEY_LU1_3U362
   4.199141,   0.000000,   0.000000,   0.000000,   4.077953,   0.000000,   0.000000,   0.000000, 762.089928,1259.435568, 998.469053, 735.746468, 712.313590, 917.711403, 469.507094, 700.501546,CI.u(95%).Total.SURVEY_LU1_3U370
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.112103,13.129776, 0.000000,14.932138, 0.000000,25.066287,CI.u(95%).Total.SURVEY_LU1_3U411
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.150282, 0.000000, 0.000000, 8.241090, 4.008304,11.410596, 0.000000,CI.u(95%).Total.SURVEY_LU1_3U413
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.957240,0.000000,7.925315,3.574835,CI.u(95%).Total.SURVEY_LU1_3U414
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  6.628126, 32.902598,  3.988994,  3.671486,  8.024296,  9.005669,  0.000000,109.204024,CI.u(95%).Total.SURVEY_LU1_3U415
   25.867538,  131.746669,  111.364756,    0.000000,    8.218338,  806.449851, 1209.569277, 5687.022245,  817.998614, 3858.698586, 3527.792380, 1014.150300, 3176.622905, 9796.459015,20897.296958,64841.982120,CI.u(95%).Total.SURVEY_LU1_3U420
   236.0199,  2552.1135,  1719.7524,   219.5807,   952.6268,  7724.1488,  7513.3601, 14483.6079,  5887.7176, 38660.1646, 32785.1827, 12986.1669, 31645.8062, 63624.5583, 68914.9267,143024.0761,CI.u(95%).Total.settlement0
  15.211858,  51.315225,  30.310433,   0.000000,   4.077953,  96.014034,   0.000000, 937.325957,1234.830598,2719.114711,2166.204680,1554.296144,2918.141538,2734.542627,2483.685456,9711.429130,CI.u(95%).Total.settlement1
   73.52257,  959.81194,  374.08865,  188.00064,  731.10840,  310.15749,  480.25602,  674.39884, 3055.64879,15989.99128,10957.72845, 7949.02078,15937.54645,18163.86576,22972.78833,63370.90428,CI.u(95%).Total.fao_class_name0
