HR02.No,HR03.No,HR06.No,HR02.Yes,HR03.Yes,HR05.Yes,HR06.Yes,variable
No,No,No,Yes,Yes,Yes,Yes,flag_two
   0.00000,   0.00000,   0.00000,  57.66791,1048.50341,   0.00000,   0.00000,Total.SURVEY_LC1_3C22
  0.0000,  0.0000,  0.0000,  0.0000,176.3437,  0.0000,  0.0000,Total.SURVEY_LC1_3C23
 56.709739,336.491574,  3.911664,  0.000000,  0.000000,  0.000000,  0.000000,Total.SURVEY_LC1_3C2x
  0.00000,  0.00000,  0.00000,114.08549,338.49151,  0.00000, 42.63462,Total.SURVEY_LC1_3C31
  0.000000,  0.000000,  0.000000,  0.000000,417.262294,  0.000000,  8.054105,Total.SURVEY_LC1_3C32
   0.0000,   0.0000,   0.0000, 294.0663,1283.1741,   0.0000,  45.9805,Total.SURVEY_LC1_3C33
241.4867,670.5949,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,Total.SURVEY_LC1_3C3x
   0.00000,   0.00000,   0.00000, 654.90805,2569.09339,  10.50824, 172.10271,Total.SURVEY_LC1_3D10
   0.000000,   0.000000,   0.000000, 532.510171,3021.722891,   8.583517, 195.899649,Total.SURVEY_LC1_3D20
0.000000,4.275766,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3Dxx
   0.0000,   0.0000,   0.0000, 368.3072,1919.1689,  20.6394, 209.5079,Total.SURVEY_LC1_3E10
   0.0000,   0.0000,   0.0000,1797.3842,2133.1779, 134.9056,1214.6298,Total.SURVEY_LC1_3E20
   0.00000,   0.00000,   0.00000,1046.24789, 272.45602,   8.56493, 374.79191,Total.SURVEY_LC1_3E30
  0.000000,  0.000000,  0.000000,  0.000000,416.843032,  0.000000,  7.704591,Total.SURVEY_LC1_3F10
 0.000000, 0.000000, 0.000000, 0.000000,20.647144, 0.000000, 4.186961,Total.SURVEY_LC1_3F20
   0.0000,   0.0000,   0.0000,1485.2685, 208.1684,   0.0000, 117.5755,Total.SURVEY_LC1_3F40
  0.00000,  0.00000,  0.00000,105.59521, 65.75226,  0.00000, 31.83905,Total.SURVEY_LC1_3G11
  0.000000,  0.000000,  0.000000,214.896525, 35.962891,  9.392226, 36.549901,Total.SURVEY_LC1_3G21
0.000000,0.000000,0.000000,0.000000,4.001862,0.000000,0.000000,Total.SURVEY_LC1_3G30
 0.00000, 0.00000, 0.00000, 0.00000,12.24051, 0.00000, 0.00000,Total.SURVEY_LC1_3G40
 0.00000, 0.00000, 0.00000,98.48166,57.84475, 0.00000,16.11056,Total.SURVEY_LC1_3H11
 0.00000, 0.00000, 0.00000, 0.00000,13.46038, 0.00000, 0.00000,Total.SURVEY_LC1_3H21
0.000000,0.000000,0.000000,0.000000,8.003723,0.000000,0.000000,Total.SURVEY_LC1_3H22
