FI1.No,FI2.No,FI1.Yes,FI2.Yes,variable
No,No,Yes,Yes,flag_two
 0.00000, 0.00000,33.86351, 0.00000,SE.Total.SURVEY_LC1_2F1
 0.00000, 0.00000,44.13048, 0.00000,SE.Total.SURVEY_LC1_2F2
  0.0000,  0.0000,187.2568,  0.0000,SE.Total.SURVEY_LC1_2F3
  0.000000,  0.000000,532.562779,  4.147636,SE.Total.SURVEY_LC1_2F4
4.6286,0.0000,0.0000,0.0000,SE.Total.SURVEY_LC1_2Fx
  0.0000,  0.0000,302.9219,  0.0000,SE.Total.SURVEY_LC1_2G1
  0.0000,  0.0000,213.8567,  0.0000,SE.Total.SURVEY_LC1_2G2
0.000000,0.000000,5.518232,0.000000,SE.Total.SURVEY_LC1_2G3
  0.0000,  0.0000,459.4233,  0.0000,SE.Total.SURVEY_LC1_2H1
0.000000,0.000000,5.974853,0.000000,SE.Total.SURVEY_LC1_2H2
3.85236,0.00000,0.00000,0.00000,SE.Total.SURVEY_LC1_2Hx
244.333125,  4.260062,324.064533,  4.170021,SE.Total.SURVEY_LU1_2U11
1296.9294,   0.0000,1899.0488,  13.3919,SE.Total.SURVEY_LU1_2U12
  0.0000,  0.0000,158.1131,  0.0000,SE.Total.SURVEY_LU1_2U13
  0.0000,  0.0000,193.3708,  0.0000,SE.Total.SURVEY_LU1_2U14
  0.0000,  0.0000,180.8274,  0.0000,SE.Total.SURVEY_LU1_2U15
 0.00000, 0.00000,34.18447, 0.00000,SE.Total.SURVEY_LU1_2U21
 0.00000, 0.00000,23.86293, 0.00000,SE.Total.SURVEY_LU1_2U22
  0.0000,  0.0000,475.3153,  0.0000,SE.Total.SURVEY_LU1_2U31
 0.00000, 0.00000,18.05418, 0.00000,SE.Total.SURVEY_LU1_2U32
  0.0000,  0.0000,157.6518,  0.0000,SE.Total.SURVEY_LU1_2U33
 0.00000, 0.00000,36.04818, 0.00000,SE.Total.SURVEY_LU1_2U34
  0.0000,  0.0000,186.8928,  0.0000,SE.Total.SURVEY_LU1_2U35
  2.808185,  0.000000,587.727043,  0.000000,SE.Total.SURVEY_LU1_2U36
 22.61137,  0.00000,326.49589, 11.69571,SE.Total.SURVEY_LU1_2U37
  0.0000,  0.0000,209.8942,  0.0000,SE.Total.SURVEY_LU1_2U41
 636.32797,   0.00000,1353.92965,  10.01124,SE.Total.SURVEY_LU1_2U42
  0.0000,  0.0000,167.9129,  0.0000,SE.Total.SURVEY_LC1_3A11
 0.00000, 0.00000,36.88449, 0.00000,SE.Total.SURVEY_LC1_3A12
0,0,0,0,SE.Total.SURVEY_LC1_3A13
  0.0000,  0.0000,202.1752,  0.0000,SE.Total.SURVEY_LC1_3A21
  0.0000,  0.0000,452.7382,  0.0000,SE.Total.SURVEY_LC1_3A22
  0.0000,  0.0000,116.7993,  0.0000,SE.Total.SURVEY_LC1_3A30
  0.0000,  0.0000,213.7528,  0.0000,SE.Total.SURVEY_LC1_3B11
 0.00000, 0.00000,46.80596, 0.00000,SE.Total.SURVEY_LC1_3B12
  0.0000,  0.0000,246.6799,  0.0000,SE.Total.SURVEY_LC1_3B13
 0.00000, 0.00000,55.43308, 0.00000,SE.Total.SURVEY_LC1_3B14
  0.0000,  0.0000,222.6825,  0.0000,SE.Total.SURVEY_LC1_3B15
0.000000,0.000000,3.019857,0.000000,SE.Total.SURVEY_LC1_3B18
 0.000000, 0.000000,19.934189, 4.147636,SE.Total.SURVEY_LC1_3B21
 0.00000, 0.00000,71.13199, 0.00000,SE.Total.SURVEY_LC1_3B22
 0.000000, 0.000000,86.936371, 4.147636,SE.Total.SURVEY_LC1_3B23
0.000000,0.000000,7.401791,0.000000,SE.Total.SURVEY_LC1_3B31
  0.0000,  0.0000,121.5336,  0.0000,SE.Total.SURVEY_LC1_3B32
0.000000,0.000000,4.986101,0.000000,SE.Total.SURVEY_LC1_3B35
 0.00000, 0.00000,14.31736, 0.00000,SE.Total.SURVEY_LC1_3B37
 0.00000, 0.00000,59.95175, 0.00000,SE.Total.SURVEY_LC1_3B41
 0.00000, 0.00000,24.87436, 0.00000,SE.Total.SURVEY_LC1_3B43
 0.00000, 0.00000,38.25864, 0.00000,SE.Total.SURVEY_LC1_3B45
 0.00000, 0.00000,67.63235, 0.00000,SE.Total.SURVEY_LC1_3B51
 0.00000, 0.00000,47.22823, 0.00000,SE.Total.SURVEY_LC1_3B52
 0.000000, 0.000000,91.240482, 4.139561,SE.Total.SURVEY_LC1_3B53
0.000000,0.000000,6.223039,0.000000,SE.Total.SURVEY_LC1_3B54
  0.000000,  0.000000,250.429104,  4.260062,SE.Total.SURVEY_LC1_3B55
0,0,0,0,SE.Total.SURVEY_LC1_3B71
0,0,0,0,SE.Total.SURVEY_LC1_3B73
0,0,0,0,SE.Total.SURVEY_LC1_3B75
 0.00000, 0.00000,38.25864, 0.00000,SE.Total.SURVEY_LC1_3B83
0,0,0,0,SE.Total.SURVEY_LC1_3B84
244.275324,  4.260062,  0.000000,  0.000000,SE.Total.SURVEY_LC1_3Bx1
0,0,0,0,SE.Total.SURVEY_LC1_3Bx2
5.737856,0.000000,0.000000,0.000000,SE.Total.SURVEY_LC1_3Bxx
   0.00000,   0.00000,1376.74836,  10.01124,SE.Total.SURVEY_LC1_3C10
   0.00000,   0.00000,1765.48181,  10.58723,SE.Total.SURVEY_LC1_3C21
   0.0000,   0.0000,2620.0936,  13.3919,SE.Total.SURVEY_LC1_3C22
   0.00,   0.00,1589.16,   0.00,SE.Total.SURVEY_LC1_3C23
1279.773,   0.000,   0.000,   0.000,SE.Total.SURVEY_LC1_3C2x
   0.000,   0.000,1785.706,   0.000,SE.Total.SURVEY_LC1_3C31
   0.00000,   0.00000,2102.55661,  10.58723,SE.Total.SURVEY_LC1_3C32
   0.000,   0.000,1736.435,   0.000,SE.Total.SURVEY_LC1_3C33
597.355,  0.000,  0.000,  0.000,SE.Total.SURVEY_LC1_3C3x
195.5396,  0.0000,  0.0000,  0.0000,SE.Total.SURVEY_LC1_3Cxx
  0.0000,  0.0000,798.7564,  0.0000,SE.Total.SURVEY_LC1_3D10
241.1519,  0.0000,  0.0000,  0.0000,SE.Total.SURVEY_LC1_3D1x
  0.0000,  0.0000,593.0625,  0.0000,SE.Total.SURVEY_LC1_3D20
0,0,0,0,SE.Total.SURVEY_LC1_3Dxx
  0.0000,  0.0000,404.1239,  0.0000,SE.Total.SURVEY_LC1_3E10
  0.00000,  0.00000,387.11519, 11.69571,SE.Total.SURVEY_LC1_3E20
  0.0000,  0.0000,664.6122,  0.0000,SE.Total.SURVEY_LC1_3E30
 0.00000, 0.00000,33.86351, 0.00000,SE.Total.SURVEY_LC1_3F10
 0.00000, 0.00000,44.13048, 0.00000,SE.Total.SURVEY_LC1_3F20
  0.0000,  0.0000,187.2568,  0.0000,SE.Total.SURVEY_LC1_3F30
  0.000000,  0.000000,532.562779,  4.147636,SE.Total.SURVEY_LC1_3F40
4.6286,0.0000,0.0000,0.0000,SE.Total.SURVEY_LC1_3Fxx
  0.0000,  0.0000,302.9219,  0.0000,SE.Total.SURVEY_LC1_3G11
0,0,0,0,SE.Total.SURVEY_LC1_3G12
  0.0000,  0.0000,213.8256,  0.0000,SE.Total.SURVEY_LC1_3G21
0.000000,0.000000,3.673538,0.000000,SE.Total.SURVEY_LC1_3G22
0.000000,0.000000,5.518232,0.000000,SE.Total.SURVEY_LC1_3G30
  0.0000,  0.0000,310.2547,  0.0000,SE.Total.SURVEY_LC1_3H11
  0.0000,  0.0000,474.6328,  0.0000,SE.Total.SURVEY_LC1_3H12
0.000000,0.000000,5.974853,0.000000,SE.Total.SURVEY_LC1_3H21
3.85236,0.00000,0.00000,0.00000,SE.Total.SURVEY_LC1_3Hxx
244.333125,  4.260062,282.015818,  4.170021,SE.Total.SURVEY_LU1_3U111
  0.0000,  0.0000,182.1404,  0.0000,SE.Total.SURVEY_LU1_3U112
 0.00000, 0.00000,11.75251, 0.00000,SE.Total.SURVEY_LU1_3U113
1296.9294,   0.0000,1899.0488,  13.3919,SE.Total.SURVEY_LU1_3U120
  0.0000,  0.0000,158.1131,  0.0000,SE.Total.SURVEY_LU1_3U130
  0.0000,  0.0000,193.3708,  0.0000,SE.Total.SURVEY_LU1_3U140
  0.0000,  0.0000,180.8274,  0.0000,SE.Total.SURVEY_LU1_3U150
 0.00000, 0.00000,34.18447, 0.00000,SE.Total.SURVEY_LU1_3U210
0.000000,0.000000,9.095044,0.000000,SE.Total.SURVEY_LU1_3U223
0,0,0,0,SE.Total.SURVEY_LU1_3U224
 0.00000, 0.00000,20.26663, 0.00000,SE.Total.SURVEY_LU1_3U225
0.000000,0.000000,8.716825,0.000000,SE.Total.SURVEY_LU1_3U226
0,0,0,0,SE.Total.SURVEY_LU1_3U227
0,0,0,0,SE.Total.SURVEY_LU1_3U228
 0.00000, 0.00000,31.00495, 0.00000,SE.Total.SURVEY_LU1_3U311
  0.0000,  0.0000,454.7655,  0.0000,SE.Total.SURVEY_LU1_3U312
 0.00000, 0.00000,77.45679, 0.00000,SE.Total.SURVEY_LU1_3U313
0.000000,0.000000,9.641987,0.000000,SE.Total.SURVEY_LU1_3U314
0,0,0,0,SE.Total.SURVEY_LU1_3U316
 0.00000, 0.00000,50.07565, 0.00000,SE.Total.SURVEY_LU1_3U317
  0.0000,  0.0000,127.8712,  0.0000,SE.Total.SURVEY_LU1_3U319
0,0,0,0,SE.Total.SURVEY_LU1_3U321
 0.00000, 0.00000,18.05418, 0.00000,SE.Total.SURVEY_LU1_3U322
