FI19.No,FI1B.No,FI1C.No,FI1D.No,FI20.No,FI19.Yes,FI1B.Yes,FI1C.Yes,FI1D.Yes,FI20.Yes,variable
No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,flag_two
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1078.02654, 450.66356, 938.74370,2638.07152,  10.00366,Total.SURVEY_LC1_3E30
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 14.21954, 17.74053, 61.41428,850.56069, 41.37131,Total.SURVEY_LC1_3F10
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,27.39444,35.48267,88.32753,83.19463, 0.00000,Total.SURVEY_LC1_3F20
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  8.207466, 51.289151, 36.452597,982.124858,  4.591064,Total.SURVEY_LC1_3F30
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1596.66827, 287.34369,1360.86294,1032.37228,  12.18575,Total.SURVEY_LC1_3F40
 0.00000, 0.00000, 0.00000,16.76969, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3Fxx
    0.00000,    0.00000,    0.00000,    0.00000,    0.00000, 6475.33208,  411.40795, 3907.54769,22288.62106,   56.97878,Total.SURVEY_LC1_3G11
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.086674,0.000000,0.000000,Total.SURVEY_LC1_3G12
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  85.19075,  20.66958, 114.49652,1124.52980,   0.00000,Total.SURVEY_LC1_3G21
0.000000,0.000000,0.000000,0.000000,0.000000,6.236748,0.000000,0.000000,0.000000,6.079276,Total.SURVEY_LC1_3G22
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,12.53757, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3G30
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000, 433.81627,  51.10904, 240.91031,4363.26270,  10.13348,Total.SURVEY_LC1_3H11
    0.00000,    0.00000,    0.00000,    0.00000,    0.00000,  745.74175,   12.54707,  137.34456,11699.32706,    0.00000,Total.SURVEY_LC1_3H12
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,20.453433, 4.235135,12.526547,15.974787,14.396225,Total.SURVEY_LC1_3H21
0.000000,0.000000,0.000000,6.337883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3Hxx
 686.513110, 479.014474, 498.571108, 428.681836,   7.378644,7466.683538,1421.516018,5937.851829,6470.857622, 183.712265,Total.SURVEY_LU1_3U111
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,114.55572, 26.50354,170.01884,368.79816,  5.00183,Total.SURVEY_LU1_3U112
 0.000000, 0.000000, 4.370619, 3.982790, 0.000000,24.178320, 8.397380,37.893304,29.785857, 0.000000,Total.SURVEY_LU1_3U113
   348.36228,   359.71489,   622.90186, 12220.79791,    14.42223, 42755.92071,  4751.33929, 19830.09102,133258.80593,   911.15309,Total.SURVEY_LU1_3U120
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  7.997413,435.023028,  0.000000,Total.SURVEY_LU1_3U130
  0.000000,  0.000000,  3.910738,  4.923118,  0.000000,492.777861, 57.914004,169.155484,947.512749,  0.000000,Total.SURVEY_LU1_3U140
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  8.497203,  0.000000,  0.000000,182.936138,  0.000000,Total.SURVEY_LU1_3U150
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.246469, 0.000000, 0.000000,58.732056, 0.000000,Total.SURVEY_LU1_3U210
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.329436,15.567367, 0.000000,Total.SURVEY_LU1_3U223
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.062944,0.000000,Total.SURVEY_LU1_3U224
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.072978, 0.000000,21.514834,17.198790, 0.000000,Total.SURVEY_LU1_3U225
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,11.253373, 0.000000, 4.353778, 8.377103, 0.000000,Total.SURVEY_LU1_3U226
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,12.742285, 4.235135,17.240550, 8.045734, 0.000000,Total.SURVEY_LU1_3U227
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.314158,0.000000,Total.SURVEY_LU1_3U228
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,37.30775,35.46263,43.26773,21.82167, 0.00000,Total.SURVEY_LU1_3U311
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,1407.8729, 349.7958, 643.7285,2711.0330,  20.3905,Total.SURVEY_LU1_3U312
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 14.870106,  8.211621, 78.868718,104.025466,  0.000000,Total.SURVEY_LU1_3U313
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,24.910379, 8.218568, 0.000000,16.021710, 0.000000,Total.SURVEY_LU1_3U314
0.000000,0.000000,0.000000,0.000000,0.000000,8.669307,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LU1_3U316
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,39.65362,35.91960,39.81969,38.69193, 0.00000,Total.SURVEY_LU1_3U317
  0.000000,  0.000000,  4.174207,  0.000000,  0.000000,115.634673, 24.688250,137.892119,392.347614,  0.000000,Total.SURVEY_LU1_3U319
0.000000,0.000000,0.000000,0.000000,0.000000,3.985451,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LU1_3U321
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,13.717005, 5.037748,24.927950, 0.000000, 0.000000,Total.SURVEY_LU1_3U322
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  4.072978, 29.226934,  3.729983,191.924145, 14.908585,Total.SURVEY_LU1_3U330
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,13.07568,21.71211,50.24634,35.00392, 0.00000,Total.SURVEY_LU1_3U341
  0.000000,  0.000000,  3.729983,  0.000000,  0.000000, 60.891132, 35.457001, 46.703136,409.083622,  0.000000,Total.SURVEY_LU1_3U350
    0.000000,    0.000000,    5.377265,    0.000000,    0.000000, 6147.872159,  379.022982, 3494.231212,17533.193741,   56.747906,Total.SURVEY_LU1_3U361
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,44.40598,64.99817,72.74780,92.45458, 0.00000,Total.SURVEY_LU1_3U362
   9.560030,   0.000000,   5.471953,  23.437061,   0.000000,1280.497040, 629.962305, 988.412838,1281.224363,  59.712595,Total.SURVEY_LU1_3U370
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1396,0.0000,Total.SURVEY_LU1_3U411
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.072978, 0.000000, 4.271922,41.461604, 0.000000,Total.SURVEY_LU1_3U413
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,27.52336, 0.00000,21.47322,36.40468, 0.00000,Total.SURVEY_LU1_3U414
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,168.32393, 64.00221, 38.91421,471.34914,  0.00000,Total.SURVEY_LU1_3U415
  188.861504,    3.983432,   87.227761, 3584.227092,    9.309228, 3175.418224,  763.665867, 2239.582639,45662.751728,  298.263133,Total.SURVEY_LU1_3U420
  1223.7369,   842.7128,  1222.3593, 16242.6128,    31.1101, 60322.2893,  7440.1283, 31831.9082,205446.0621,  1454.8782,Total.settlement0
   9.56003,   0.00000,  13.37614,  23.43706,   0.00000,3169.41382,1285.15888,2302.35631,5406.88807,  95.01168,Total.settlement1
  696.245993,  482.795754,  514.756656,  808.507769,    7.378644,19791.101803, 3586.006055,13861.950316,68614.013022,  435.639852,Total.fao_class_name0
   527.49090,   359.91704,   710.12962, 15213.91950,    23.73145, 42101.51642,  4849.97679, 19262.92244,137775.17713,  1035.58773,Total.fao_class_name1
   0.00000,   0.00000,   0.00000, 220.18548,   0.00000,1345.91971,  79.27204, 705.63488,3813.72276,  36.12635,Total.fao_class_name2
  9.56003,  0.00000, 10.84922, 23.43706,  0.00000,253.16515,210.03232,303.75688,650.03728, 42.53598,Total.fao_class_name3
  1223.7369,   842.7128,  1221.1563, 16242.6128,    31.1101, 55944.9611,  7594.1346, 29481.9232,191501.9900,  1433.4294,Total.lue0
    9.56003,    0.00000,   14.57920,   23.43706,    0.00000, 7546.74199, 1131.15257, 4652.34132,19350.96022,  116.46050,Total.lue1
  1233.2969,   842.7128,  1227.6505, 16261.1267,    31.1101, 61291.9160,  8166.5769, 32940.4357,206313.2737,  1514.5908,Total.lud0
   0.000000,   0.000000,   8.084946,   4.923118,   0.000000,2199.787111, 558.710330,1193.828787,4539.676473,  35.299083,Total.lud1
 312.583336, 163.044074, 175.040231,1391.240747,   4.260062, 345.368347, 165.187536, 183.557888,1386.619910,   4.382346,SE.Total.area
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,274.12544, 42.63895, 98.35142,416.42410,  0.00000,SE.Total.SURVEY_LC1_1A
138.390983,141.289018,104.700500, 98.090931,  4.260062,226.865347,124.002023,190.507365,163.390630,  5.280524,SE.Total.SURVEY_LC1_1B
 142.84754,  81.36820, 140.27433,1387.76646,   0.00000, 810.32290, 122.50718, 307.90271,1712.56644,  10.48723,SE.Total.SURVEY_LC1_1C
241.15194,  0.00000,  0.00000,  0.00000,  0.00000,525.99257, 43.63557,206.21788,809.11014,  0.00000,SE.Total.SURVEY_LC1_1D
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,411.60545,146.30144,263.91606,689.36424, 11.69571,SE.Total.SURVEY_LC1_1E
  0.000000,  0.000000,  0.000000,  4.628600,  0.000000,369.362819,108.202082,171.318571,379.338969,  4.147636,SE.Total.SURVEY_LC1_1F
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 80.051250,  1.068405, 20.643643,207.120166,  0.000000,SE.Total.SURVEY_LC1_1G
  0.000000,  0.000000,  0.000000,  3.852360,  0.000000, 65.474948,  1.091369, 36.989930,453.220762,  0.000000,SE.Total.SURVEY_LC1_1H
